amiiboSeries,character,gameSeries,head,image,name,release,tail,type
Super Smash Bros.,Peach,Super Mario,20000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00020000-00010002.png,Peach,"{'au': '2014-11-29', 'eu': '2014-11-28', 'jp': '2014-12-06', 'na': '2014-11-21'}",10002,Figure
Super Mario Bros.,Peach,Super Mario,20000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00020000-00360102.png,Peach,"{'au': '2015-03-21', 'eu': '2015-03-20', 'jp': '2015-03-12', 'na': '2015-03-20'}",360102,Figure
Super Mario Bros.,Peach,Super Mario,20000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00020000-03720102.png,Peach - Wedding,"{'au': '2017-10-27', 'eu': '2017-10-27', 'jp': '2017-10-27', 'na': '2017-10-27'}",3720102,Figure
Super Nintendo World,Peach,Super Mario,20003,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00020003-039dff02.png,Peach - Power Up Band,"{'au': None, 'eu': None, 'jp': '2021-02-04', 'na': None}",039dff02,Band
Super Mario Bros.,Peach,Super Mario,20100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00020100-03a70102.png,Peach - Cat,"{'au': '2021-02-12', 'eu': '2021-02-12', 'jp': '2021-02-12', 'na': '2021-02-12'}",03a70102,Figure
Super Smash Bros.,Yoshi,Super Mario,30000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00030000-00020002.png,Yoshi,"{'au': '2014-11-29', 'eu': '2014-11-28', 'jp': '2014-12-06', 'na': '2014-11-21'}",20002,Figure
Super Mario Bros.,Yoshi,Super Mario,30000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00030000-00370102.png,Yoshi,"{'au': '2015-03-21', 'eu': '2015-03-20', 'jp': '2015-03-12', 'na': '2015-03-20'}",370102,Figure
Super Nintendo World,Yoshi,Super Mario,30003,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00030003-039fff02.png,Yoshi - Power Up Band,"{'au': None, 'eu': None, 'jp': '2021-02-04', 'na': None}",039fff02,Band
Yoshi's Woolly World,Yoshi,Super Mario,30102,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00030102-00410302.png,Green Yarn Yoshi,"{'au': '2015-06-25', 'eu': '2015-06-26', 'jp': '2015-07-16', 'na': '2015-10-16'}",410302,Yarn
Yoshi's Woolly World,Yoshi,Super Mario,30102,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00030102-00420302.png,Pink Yarn Yoshi,"{'au': '2015-06-25', 'eu': '2015-06-26', 'jp': '2015-07-16', 'na': '2015-10-16'}",420302,Yarn
Yoshi's Woolly World,Yoshi,Super Mario,30102,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00030102-00430302.png,Light Blue Yarn Yoshi,"{'au': '2015-06-25', 'eu': '2015-06-26', 'jp': '2015-07-16', 'na': '2015-10-16'}",430302,Yarn
Yoshi's Woolly World,Yoshi,Super Mario,30102,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00030102-023e0302.png,Mega Yarn Yoshi,"{'au': '2015-11-28', 'eu': '2015-11-27', 'jp': '2015-12-10', 'na': '2015-11-15'}","2,3E+303",Yarn
Super Mario Bros.,Rosalina,Super Mario,40000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00040000-02620102.png,Rosalina,"{'au': '2016-10-08', 'eu': '2016-10-07', 'jp': '2016-10-20', 'na': '2016-11-04'}",2620102,Figure
Super Smash Bros.,Rosalina,Super Mario,40100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00040100-00130002.png,Rosalina & Luma,"{'au': '2015-01-29', 'eu': '2015-01-23', 'jp': '2015-01-22', 'na': '2015-02-01'}",130002,Figure
Super Smash Bros.,Bowser,Super Mario,50000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00050000-00140002.png,Bowser,"{'au': '2015-01-29', 'eu': '2015-01-23', 'jp': '2015-01-22', 'na': '2015-02-01'}",140002,Figure
Super Mario Bros.,Bowser,Super Mario,50000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00050000-00390102.png,Bowser,"{'au': '2015-03-21', 'eu': '2015-03-20', 'jp': '2015-03-12', 'na': '2015-03-20'}",390102,Figure
Super Mario Bros.,Bowser,Super Mario,50000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00050000-03730102.png,Bowser - Wedding,"{'au': '2017-10-27', 'eu': '2017-10-27', 'jp': '2017-10-27', 'na': '2017-10-27'}",3730102,Figure
Skylanders,Bowser,Super Mario,0005ff00,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_0005ff00-023a0702.png,Hammer Slam Bowser,"{'au': '2015-09-24', 'eu': '2015-09-25', 'jp': None, 'na': '2015-09-20'}",023a0702,Figure
Super Smash Bros.,Bowser Jr.,Super Mario,60000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00060000-00150002.png,Bowser Jr.,"{'au': '2015-07-23', 'eu': '2015-07-17', 'jp': '2015-07-17', 'na': '2015-09-11'}",150002,Figure
Super Smash Bros.,Wario,Super Mario,70000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00070000-001a0002.png,Wario,"{'au': '2015-04-25', 'eu': '2015-04-24', 'jp': '2015-04-29', 'na': '2015-05-29'}",001a0002,Figure
Super Mario Bros.,Wario,Super Mario,70000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00070000-02630102.png,Wario,"{'au': '2016-10-08', 'eu': '2016-10-07', 'jp': '2016-10-20', 'na': '2016-11-04'}",2630102,Figure
Super Smash Bros.,Donkey Kong,Super Mario,80000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00080000-00030002.png,Donkey Kong,"{'au': '2014-11-29', 'eu': '2014-11-28', 'jp': '2014-12-06', 'na': '2014-11-21'}",30002,Figure
Super Mario Bros.,Donkey Kong,Super Mario,80000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00080000-02640102.png,Donkey Kong,"{'au': '2016-10-08', 'eu': '2016-10-07', 'jp': '2016-10-20', 'na': '2016-11-04'}",2640102,Figure
Skylanders,Donkey Kong,Super Mario,0008ff00,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_0008ff00-023b0702.png,Turbo Charge Donkey Kong,"{'au': '2015-09-24', 'eu': '2015-09-25', 'jp': None, 'na': '2015-09-20'}",023b0702,Figure
Super Smash Bros.,Diddy Kong,Super Mario,90000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00090000-000d0002.png,Diddy Kong,"{'au': '2014-12-12', 'eu': '2014-12-19', 'jp': '2014-12-06', 'na': '2014-12-14'}",000d0002,Figure
Super Mario Bros.,Diddy Kong,Super Mario,90000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00090000-02650102.png,Diddy Kong,"{'au': '2016-11-05', 'eu': '2016-11-04', 'jp': '2016-10-20', 'na': '2016-11-04'}",2650102,Figure
Super Mario Bros.,Toad,Super Mario,000a0000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_000a0000-00380102.png,Toad,"{'au': '2015-03-21', 'eu': '2015-03-20', 'jp': '2015-03-12', 'na': '2015-03-20'}",380102,Figure
Super Nintendo World,Toad,Super Mario,000a0003,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_000a0003-03a0ff02.png,Toad - Power Up Band,"{'au': None, 'eu': None, 'jp': '2021-02-04', 'na': None}",03a0ff02,Band
Super Mario Bros.,Daisy,Super Mario,130000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00130000-02660102.png,Daisy,"{'au': '2016-11-05', 'eu': '2016-11-04', 'jp': '2016-10-20', 'na': '2016-11-04'}",2660102,Figure
Super Smash Bros.,Daisy,Super Mario,130000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00130000-037a0002.png,Daisy,"{'au': '2019-04-12', 'eu': '2019-04-12', 'jp': '2019-04-12', 'na': '2019-04-12'}",037a0002,Figure
Super Nintendo World,Daisy,Super Mario,130003,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00130003-039eff02.png,Daisy - Power Up Band,"{'au': None, 'eu': None, 'jp': '2021-02-04', 'na': None}",039eff02,Band
Super Mario Bros.,Waluigi,Super Mario,140000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00140000-02670102.png,Waluigi,"{'au': '2016-11-05', 'eu': '2016-11-04', 'jp': '2016-10-20', 'na': '2016-11-04'}",2670102,Figure
Super Mario Bros.,Boo,Super Mario,170000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00170000-02680102.png,Boo,"{'au': '2016-10-08', 'eu': '2016-10-07', 'jp': '2016-10-20', 'na': '2016-11-04'}",2680102,Figure
Yoshi's Woolly World,Poochy,Yoshi's Woolly World,800102,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00800102-035d0302.png,Poochy,"{'au': '2017-02-04', 'eu': '2017-02-03', 'jp': '2017-01-19', 'na': '2017-02-03'}",035d0302,Yarn
Super Smash Bros.,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-00040002.png,Link,"{'au': '2014-11-29', 'eu': '2014-11-28', 'jp': '2014-12-06', 'na': '2014-11-21'}",40002,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-034b0902.png,Link - Ocarina of Time,"{'au': '2016-12-03', 'eu': '2016-12-02', 'jp': '2016-12-01', 'na': '2016-12-02'}",034b0902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-034c0902.png,Link - Majora's Mask,"{'au': '2017-06-24', 'eu': '2017-06-23', 'jp': '2017-06-23', 'na': '2017-06-23'}",034c0902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-034d0902.png,Link - Twilight Princess,"{'au': '2017-06-24', 'eu': '2017-06-23', 'jp': '2017-06-23', 'na': '2017-06-23'}",034d0902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-034e0902.png,Link - Skyward Sword,"{'au': '2017-06-24', 'eu': '2017-06-23', 'jp': '2017-06-23', 'na': '2017-06-23'}",034e0902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-034f0902.png,8-Bit Link,"{'au': '2016-12-03', 'eu': '2016-12-02', 'jp': '2016-12-01', 'na': '2016-12-02'}",034f0902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-03530902.png,Link - Archer,"{'au': '2017-03-03', 'eu': '2017-03-03', 'jp': '2017-03-03', 'na': '2017-03-03'}",3530902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-03540902.png,Link - Rider,"{'au': '2017-03-03', 'eu': '2017-03-03', 'jp': '2017-03-03', 'na': '2017-03-03'}",3540902,Figure
Super Smash Bros.,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-037c0002.png,Young Link,"{'au': '2019-04-12', 'eu': '2019-04-12', 'jp': '2019-04-12', 'na': '2019-04-12'}",037c0002,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-03990902.png,Link - Link's Awakening,"{'au': '2019-09-20', 'eu': '2019-09-20', 'jp': '2019-09-20', 'na': '2019-09-20'}",3990902,Figure
Super Smash Bros.,Link,The Legend of Zelda,1000100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000100-00160002.png,Toon Link,"{'au': '2015-01-29', 'eu': '2015-01-23', 'jp': '2015-01-22', 'na': '2015-02-01'}",160002,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000100-03500902.png,Toon Link - The Wind Waker,"{'au': '2016-12-03', 'eu': '2016-12-02', 'jp': '2016-12-01', 'na': '2016-12-02'}",3500902,Figure
Super Smash Bros.,Zelda,The Legend of Zelda,1010000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01010000-000e0002.png,Zelda,"{'au': '2014-12-12', 'eu': '2014-12-19', 'jp': '2014-12-06', 'na': '2014-12-14'}",0,Figure
Legend Of Zelda,Zelda,The Legend of Zelda,1010000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01010000-03520902.png,Toon Zelda - The Wind Waker,"{'au': '2016-12-03', 'eu': '2016-12-02', 'jp': '2016-12-01', 'na': '2016-12-02'}",3520902,Figure
Legend Of Zelda,Zelda,The Legend of Zelda,1010000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01010000-03560902.png,Zelda,"{'au': '2017-03-03', 'eu': '2017-03-03', 'jp': '2017-03-03', 'na': '2017-03-03'}",3560902,Figure
Super Smash Bros.,Zelda,The Legend of Zelda,1010100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01010100-00170002.png,Sheik,"{'au': '2015-01-29', 'eu': '2015-01-23', 'jp': '2015-01-22', 'na': '2015-02-01'}",170002,Figure
Legend Of Zelda,Zelda,The Legend of Zelda,1010300,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01010300-04140902.png,Zelda & Loftwing,"{'au': '2021-07-16', 'eu': '2021-07-16', 'jp': '2021-07-16', 'na': '2021-07-16'}",4140902,Figure
Super Smash Bros.,Ganon,The Legend of Zelda,1020100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01020100-001b0002.png,Ganondorf,"{'au': '2015-07-04', 'eu': '2015-06-26', 'jp': '2015-06-11', 'na': '2015-09-11'}",001b0002,Figure
Legend Of Zelda,Midna,The Legend of Zelda,1030000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01030000-024f0902.png,Midna & Wolf Link,"{'au': '2016-03-05', 'eu': '2016-03-04', 'jp': '2016-03-10', 'na': '2016-03-04'}",024f0902,Figure
Legend Of Zelda,Daruk,The Legend of Zelda,1050000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01050000-03580902.png,Daruk,"{'au': '2017-11-10', 'eu': '2017-11-10', 'jp': '2017-11-10', 'na': '2017-11-10'}",3580902,Figure
Legend Of Zelda,Urbosa,The Legend of Zelda,1060000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01060000-03590902.png,Urbosa,"{'au': '2017-11-10', 'eu': '2017-11-10', 'jp': '2017-11-10', 'na': '2017-11-10'}",3590902,Figure
Legend Of Zelda,Mipha,The Legend of Zelda,1070000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01070000-035a0902.png,Mipha,"{'au': '2017-11-10', 'eu': '2017-11-10', 'jp': '2017-11-10', 'na': '2017-11-10'}",035a0902,Figure
Legend Of Zelda,Revali,The Legend of Zelda,1080000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01080000-035b0902.png,Revali,"{'au': '2017-11-10', 'eu': '2017-11-10', 'jp': '2017-11-10', 'na': '2017-11-10'}",035b0902,Figure
Legend Of Zelda,Guardian,Breath of the Wild,1400000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01400000-03550902.png,Guardian,"{'au': '2017-03-03', 'eu': '2017-03-03', 'jp': '2017-03-03', 'na': '2017-03-03'}",3550902,Figure
Legend Of Zelda,Bokoblin,Breath of the Wild,1410000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01410000-035c0902.png,Bokoblin,"{'au': '2017-03-03', 'eu': '2017-03-03', 'jp': '2017-03-03', 'na': '2017-03-03'}",035c0902,Figure
Super Smash Bros.,Villager,Animal Crossing,1800000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01800000-00080002.png,Villager,"{'au': '2014-11-29', 'eu': '2014-11-28', 'jp': '2014-12-06', 'na': '2014-11-21'}",80002,Figure
Animal Crossing,Isabelle,Animal Crossing,1810000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01810000-024b0502.png,Isabelle - Summer Outfit,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-03-24', 'na': '2016-06-10'}",024b0502,Figure
Animal Crossing,Isabelle,Animal Crossing,1810001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01810001-00440502.png,Isabelle,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",440502,Card
Super Smash Bros.,Isabelle,Animal Crossing,1810000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01810000-037d0002.png,Isabelle,"{'au': '2019-07-19', 'eu': '2019-07-19', 'jp': '2019-07-19', 'na': '2019-07-26'}",037d0002,Figure
Animal Crossing,Isabelle,Animal Crossing,1810001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01810001-01d40502.png,Isabelle - Character Parfait,"{'au': None, 'eu': None, 'jp': '2015-08-01', 'na': None}",01d40502,Card
Animal Crossing,Isabelle,Animal Crossing,1810100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01810100-023f0502.png,Isabelle - Winter Outfit,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-11-21', 'na': '2015-11-13'}",023f0502,Figure
Animal Crossing,Isabelle,Animal Crossing,1810101,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01810101-00b40502.png,Isabelle - Winter,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00b40502,Card
Animal Crossing,Isabelle,Animal Crossing,1810201,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01810201-011a0502.png,Isabelle - Kimono,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",011a0502,Card
Animal Crossing,Isabelle,Animal Crossing,1810301,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01810301-01700502.png,Isabelle - Dress,"{'au': '2016-06-18', 'eu': '2016-06-17', 'jp': '2016-03-24', 'na': '2016-06-10'}",1700502,Card
Animal Crossing,K.K. Slider,Animal Crossing,1820000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01820000-02400502.png,K. K. Slider,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-11-21', 'na': '2015-11-13'}",2400502,Figure
Animal Crossing,K.K. Slider,Animal Crossing,1820001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01820001-00a80502.png,K.K. Slider,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00a80502,Card
Animal Crossing,K.K. Slider,Animal Crossing,1820001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01820001-01d80502.png,K. K. Slider - Pikopuri,"{'au': None, 'eu': None, 'jp': '2016-03-15', 'na': None}",01d80502,Card
Animal Crossing,K.K. Slider,Animal Crossing,1820101,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01820101-00460502.png,DJ KK,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",460502,Card
Animal Crossing,Tom Nook,Animal Crossing,1830000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01830000-02420502.png,Tom Nook,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-11-21', 'na': '2015-11-13'}",2420502,Figure
Animal Crossing,Tom Nook,Animal Crossing,1830001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01830001-00450502.png,Tom Nook,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",450502,Card
Animal Crossing,Tom Nook,Animal Crossing,1830101,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01830101-010e0502.png,Tom Nook - Jacket,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",010e0502,Card
Animal Crossing,Timmy & Tommy,Animal Crossing,1840000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01840000-024d0502.png,Timmy & Tommy,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-03-24', 'na': '2016-03-18'}",024d0502,Figure
Animal Crossing,Timmy,Animal Crossing,1850001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01850001-004b0502.png,Timmy,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",004b0502,Card
Animal Crossing,Timmy,Animal Crossing,1850201,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01850201-01170502.png,Timmy - Full Apron,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1170502,Card
Animal Crossing,Timmy,Animal Crossing,1850401,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01850401-01790502.png,Timmy - Suit,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",1790502,Card
Animal Crossing,Tommy,Animal Crossing,1860101,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01860101-00af0502.png,Tommy - Uniform,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00af0502,Card
Animal Crossing,Tommy,Animal Crossing,1860301,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01860301-01750502.png,Tommy - Suit,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",1750502,Card
Animal Crossing,Sable,Animal Crossing,1870001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01870001-00470502.png,Sable,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",470502,Card
Animal Crossing,Mabel,Animal Crossing,1880000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01880000-02410502.png,Mabel,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-11-21', 'na': '2015-11-13'}",2410502,Figure
Animal Crossing,Mabel,Animal Crossing,1880001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01880001-01120502.png,Mabel,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1120502,Card
Animal Crossing,Labelle,Animal Crossing,1890001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01890001-00ab0502.png,Labelle,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00ab0502,Card
Animal Crossing,Reese,Animal Crossing,018a0000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_018a0000-02450502.png,Reese,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-11-21', 'na': '2015-11-13'}",2450502,Figure
Animal Crossing,Reese,Animal Crossing,018a0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_018a0001-00a90502.png,Reese,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00a90502,Card
